doc_id	encoding	sentence	label	sentence_length
6408	utf-8	argumen lainnya nang mandukung ateisma nang kawa diklasifikasikan sabagai epistemologis atawa jua ontologis meliputi positivisma logis dan ignostisisma nang batamamtamam mamadahan ketidakberartian atawa jua ketidakterpahaman istilahistilah dasar nangkaya tuhan dan pernyataan nangkaya tuhan adalah mahakuasa nonkognitivisma teologis baisi posisi bahua pernyataan tuhan ada bukanlah suatu dalil namun adalah mangaradau atawa jua sacara kognitif kada baarti	banjar	455
3965	utf-8	hun dikarin gelekî hesanî berheman bikirin	kurdish	42
6607	utf-8	yil iyulda italiyaning napoli jamoasiga otdi	uzbek	44
2899	utf-8	lalek iko juo marupokan bagian dari ordo diptera kelas insecta filum arthropoda dan kingdom animalia	minangkabau	100
3260	utf-8	ꭽꮻꮎꮧꮲ ꭴꭺꮧꮧ ꭰᏸꮅ ꮪꮎꮩꮲꮹꮧꮢ ꮧꮒᏺꮅ ꭰꮣꮕꮝꮧ ꭴꮟꮹ ꭰꮯꮝꮩꮧ ꮎꮝꭹꮎꭲ santa ꭷꮅꭲ ꭼꮩꮧ ꭴꮝꮧ ꮧꮣꮑꮧ ꮿꮫꮏ ꮵꮔꮝꮧ ꮧꮒᏺꮅ ꮷꮎꮑꮈꮩꮧ ꭷꮅꮞꮵ ꭰꮄ ꭴꮣꮤꮕ ꭰꭹꮝꮧ	cherokee	111
3837	utf-8	dalam seni rupa hirang rancak digunakan dalam penyajian karya mengingat hirang nang ditatay lawan warna nang lain kawawa manguati kesan warna nangitu tadih	banjar	155
4466	utf-8	પાલીતાણા ભારતના ગુજરાત રાજ્યના ભાવનગર જિલ્લાના પાલીતાણા તાલુકામાં આવેલું એક મહત્વનું ગામ છે	gujarati	91
5135	utf-8	వ సంవత్సరపు మొదట్లో మొదటి దశ పూర్తి కాగానే సుజుకి ఇంజన్లను అంతర్గతంగా సంస్థలోనే జోడించడం మొదలయ్యింది	telugu	100
3477	utf-8	bronzer	walloon	7
5778	utf-8	кунейтрэ куейр исраэлым оккупациэ ишъауэ иӏыгъ куейм и лъэныкъуэ гуэрэхэр лъзым и ӏэнатӏэм кӏэт	kabardian	95
881	utf-8	ಪ್ರತಿಯೊಬ್ಬ ರೈತಗ್ಲಾ ಎನ್ನ ಶಕ್ತ್ಯನುಸಾರ ಬೆಲೆ ಮಾಲ್ಪೊಡು	tulu	49
5976	utf-8	aybaşı qanı adi damarlardan axan qandan bir qədər tünd rəngə malik olub tərkibində çoxlu sayda fermentlərin olduğuna görə laxtalanmır	azerbaijani	133
1724	utf-8	o comboio inaugural que partiu do barreiro era formado por uma locomotiva e duas carruagens	portuguese	91
183	utf-8	tetun foufoun loos mak tetunterik timór oan sira koalia tiha ona lian nee uluk kedas ona antes portugés sira too	tetum	112
335	utf-8	türkmenler bagbançylyk bilen hem meşgullanypdyrlar	turkmen	50
5540	utf-8	серед  неактивних  особи були учнями чи студентами  — пенсіонерами  були неактивними з інших причин	ukrainian	99
4905	utf-8	kosovo no ta miembro di nashonan uni united nations pasobra rusia a y ta sigui menasa di usa su veto	papiamento	100
6211	utf-8	ځنګلونوموجوديت انسانانوته دډيروګټوبښونکی دی که څه هم هغه يواځې دچارتراشوتوليدپه خاطروي	pushto	86
1148	utf-8	ломоносова и должной оценки её президент академии наук украины в	russian	64
1489	utf-8	تاريخ ۾ ھن ماڳ جو ذڪر ھيئن ٿيل آھي، ته ھي ماڳ ڪلھوڙن کان اڳ موجود ھو	sindhi	68
4995	utf-8	ондо нацис германи этигэл эбдэн добтолжо «эсэгэ ороноо хамгаалгын агууехэ дайн» эхилһэн бэлэй	buryat	93
5080	utf-8	bir nesnenin başka bir nesne üzerine uyguladığı yükün yüzey altında oluşturduğu gerilmeler o nesnenin gerilme direncinin üzerine çıkarak yüzey altında çatlaklar oluşturular	turkish	172
3674	utf-8	na gregorian calender anyi nwere agugu ubochi   na afo nke anakpo leapyear du mgbe afo na agwu	igbo	94
5265	utf-8	эсонза васенцеда азфоль mordens терминць	moksha	40
1482	utf-8	абубакархiажиясул вагiзаби руго магiарул мацiалда хъвайхъвагiай байбихьулеб мехалъ тiоцебе гьеб мацiалда хъварал динияб адабияталъул тiадегiанаб даражаялъул асарал	avar	163
2163	utf-8	em  de maio de  aconteceu a grande reunião na casa dos maurer com a presença estimada de  a  pessoas	portuguese	100
1214	utf-8	soʻrgʻichida qon tomirlar va nervlar boʻladi	uzbek	44
2402	utf-8	mose niwe wa byanditse	kinyarwanda	22
2107	utf-8	o  e abbrile  facette e soje primme  presenze dinto napule	neapolitan	58
1910	utf-8	د ننۍ نړۍ واقعيتونه دا دي چې د نړيوال کيدنې پروسه کې د ورسته پاتې او لږ پر مختللو هيوادونو رول او ونډه د شتمنو او پرمختللو هيوادونو په پرتله په هيڅ حساب ده	pushto	155
6506	utf-8	er bloavezhioù  e voe lakaet karrbedoù kaset gant kefluskerioù wankel war ar marchad  kirritan marchoùtan kirrierch da skouer	breton	125
6451	utf-8	עם זאת לוקח לתאי הגזע מדם טבורי זמן רב יותר להיקלט והמושתל נותר חשוף למחלות לפרק זמן ממושך יותר	hebrew	95
912	utf-8	ଆମେରିକା କଲେଜ ଅଫ୍ ଏମର୍ଜେନ୍ସି ଫିଜିସିଆନ୍ ଗୋଟିଏ ଗାଇଡ୍ ଲାଇନ ତିଆରି କରିଛନ୍ତି ଯାହାଦ୍ଵାରା ଆଘାତ ପ୍ରାପ୍ତ ହୋଇ ନ ଥିବା ରୋଗର ତର୍ଜମା ଓ ଚିକିତ୍ସା କରିବାରେ ସାହାଯ୍ୟ କରିବ ।	oriya	150
1037	utf-8	na druhej strane konfuciovo vyjadrovanie zvykne byť kratšie a výstižnejšie často zložené iba z krátkych jednotlivých výrokov s hlbším významom v rozsahu jednej vety	slovak	164
2709	utf-8	محض از همان دوره سر کرده ادبیات فارس و  تاجیک تشکل یافته در تمام عالم مشهور گردید	persian	81
6256	utf-8	چې دغه تغيرات ښايي دټکنالوژۍ داستعمال دحاصلاتوراټولودغوره ميتودونواوياځينونوروعواملوپواسطه ترلاسه شي	pushto	100
939	utf-8	extint	interlingue	6
1650	utf-8	иденди сценканза пеетьфти аксонза лисендихть журналть пъцтай эрь номерсонза	moksha	75
5848	utf-8	xx æнусы райдианæй æм азмæ корей æнæхъæнæй уыдис японы дæлбар	ossetian	61
3577	utf-8	lakaet en doa james bouillé artizaned eus ar vro da labourat  tregeriz eveljust kerambrun evit ar mañsonerezh le merer evit an ebenouriezh le bozec evit ar chizellerezh garnuzel ha lemercier evit an houarnerezh met roazhoniz ivez ar vreudeur rault evit ar gwerlivet hag un naonedad evit an ograou	breton	296
2311	utf-8	nur specioj de la subgenro apis vivas en abelujoj sed nur la okcidenta mielabelo apis mellifera kaj la orienta mielabelo apis cerana estas alhejmigitaj de homoj	esperanto	160
1732	utf-8	העימות מוביל אותם בסופו של דבר לגלות באלמדינה ההגרה	hebrew	51
5278	utf-8	хайду венгрань академиксь и а	moksha	29
893	utf-8	varhaiseen tuotantoonsa kuten helkavirsiin hän on saanut vaikutteita kalevalasta	finnish	80
2591	utf-8	a talk given by takis fotopoulos at the university of vermont in  followed by a discussion in which murray bookchin dan chodorkoff and others take part	english	151
2216	utf-8	таҥара диэн биһиги сахалар өйсанаа туһунан үөрэхпит	yakut	51
242	utf-8	অৱশ্যে তেওঁ সংগ্ৰহ কৰা কিছু চৰাইৰ বাহ আৰু কণী সন্দেহযুক্ত বুলি ধাৰণা কৰা হৈছিল৷ আৰু সন্দেহ কৰা হৈছিল যে কিছুমান তেওঁ কৃত্ৰিমভাৱে তৈয়াৰ কৰা হ’ব পাৰে৷ কিন্তু এইসম্পৰ্কত কোনো প্ৰামাণ্য তথ্য পোৱা নগ’ল৷	assamese	198
4073	utf-8	a la fi daquest any editen una col·lecció dèxits de tots els seus àlbums titulada delikatessen	catalan	94
470	utf-8	соналъул январалда ахімет неждет сезер вищула конституциялъулаб судалъул бетіерав къадилъун	avar	91
5356	utf-8	iunie universitatea din lisabona a anunțat că o echipă internațională de astronomi a descoperit galaxia cea mai luminoasă și mai strălucitoare din univers numită prescurtat cr	romanian	175
4168	utf-8	ang champelembe nahimutang sa lalawigan sa northwestern province sa sentro nga bahin sa nasod  km sa amihanan sa ulohang dakbayan lusaka	cebuano	136
2832	utf-8	rené descartes discours de la méthode pour bien conduire sa raison et chercher la vérité dans les sciences appendice les météores discours huitième sur les arcsenciel initialement publié en	lingala	189
1468	utf-8	addae de sas colònias marinas naschint finas sas colònias montaresas sa san marco de pedavena oe in intro de su parcu nassionale de sas dolomitas bellunesas est fundada in su	sardinian	174
4257	utf-8	dagblaðið the times telur oxfordháskóla vera besta breska háskólann árið  times higher education supplement taldi skólann	icelandic	121
1719	utf-8	﻿lucius cornelius scipione hè statu un omu di statu è generale di a ripublica rumana à u iiiu seculu nanzu gc figliolu di lucius cornelius scipio barbatus consulu in u  nanzu gc	corsican	177
2473	utf-8	суалмасуы қиындаған белдем жерасты суларының ортаңғы белдемі — жерасты суларының жатындары сулы горизонттар сулы кешендер тсс жер бетімен тікелей байланысы щектеулі алаңшалар ауқымында ғана көрініс беретін гидрогеологиялық қима бөлігі	kazakh	234
4851	utf-8	ஆண்டுகளில் முதல்தர துடுப்பாட்டப் போட்டிகளில் பங்குகொண்டார்	tamil	58
1233	utf-8	अङ्ग्रेजी एक पश्चिमजर्मनिक भाषा अछि । प्रारम्भमे ई मात्र इङ्ल्यान्डमे बाजल जाइत छल मुदा अखन ई विश्वव्यापी रूपमे बाजल जाइत अछि। बेलायत संयुक्त राज्य अमेरिका क्यानाडा दक्षिण अफ्रिका अस्ट्रेलिया आ न्युजिल्यान्डमे मुख्य बोलीके रूपमे ई भाषाक प्रयोग कएल जाइत अछि। ई विश्वके बहुत रास स्थानमे बाजल जाइवाला भाषा छी। अङ्ग्रेजी भाषाके विश्वके बहुत देशसभमे अन्तर्राष्ट्रिय भाषाके रुपमे सेहो बाजल जाइत अछि।	maithili	393
421	utf-8	البته در زازاکی هم این وامافزار زبانی ن وجود داره، گرچه ریشه افعال زازاکی با زبانهای شمالی فرق می کنه	gilaki	101
6101	utf-8	àwọn tí ó lọ ṣe àtìpó ní pàtàkì ní ilẹ̀ faransé náà máa ń sọ èdè yìí	yoruba	68
913	utf-8	hayden planetariumunun direktoru olduğu müddətdə tayson plutonun günəş sisteminin doqquzuncu planet olması haqqındakı ənənəvi fikrə qarşı münasibət göstərirdi	azerbaijani	158
1056	utf-8	e ai ki toitū te whenua he nohanga he locality rānei ki te reo pākehā he wāhi nohoia e te tangata engari kāore anō kia tae te nui o te taupori ki te nui e taea ai te kī he tāone tonu taua wāhi rā	maori	195
2240	utf-8	нужеца кумек кьечiони дида гьеб босизе кiоларо» – ян	avar	52
1698	utf-8	сен кучсиз эмассан сен кимсасиз эмассан бугун ер юзида саксон милйун боланг бор	tuvan	79
5326	utf-8	станцияҕа үлэлиир дьон хатикоҕа ас биэрэллэр эбит	yakut	49
6205	utf-8	په پاکستان کې په ټولوځنګلي ساحوکې دخلکواوسيدل يونه حل کيدونکې ستونزه ده نوبايدپلان په جوړولوکې دډيروخلکويوځاې کيدنه په نظرکې ونيول شي	pushto	133
941	utf-8	an lipotriches magniventris in nahilalakip ha genus nga lipotriches ngan familia nga halictidae	waray	95
619	utf-8	meubida bahsa teuntè jeuët keu bida meuphôm	achinese	43
6145	utf-8	ശെഖെവാൾ ലെ സാക്ഷരതാ നിരക്ക്  ശതമാനമാണ്	malayalam	38
6339	utf-8	елга корлик елгасына кушылып аның кушылдыгы булып тора	tatar	54
47	utf-8	mo  km² wjyrchu a podug danych ze  roku půmjyszkiwało sam  ludźůw	silesian	65
219	utf-8	beliau kemudian berasa kecewa dengan apa yang beliau anggap sebagai dasardasar perkauman umno serta mencadangkan bahawa keahlian parti dibuka kepada semua penduduk tanah melayu tanpa mengira kaum dan nama umno ditukarkan menjadi pertubuhan kebangsaan penduduk tanah melayu bersatu	malay	280
493	utf-8	de  à  ils étaient également effectués par des shinkansen série e	french	65
1212	utf-8	xaltachaning ichki qinida s	uzbek	27
3321	utf-8	สราลี กิติยากร เป็นผู้จัดละคร	thai	29
1433	utf-8	сергей оолакаевичниң хөөмейинге канчапдаа аажок дүжүткүр чыл болган	tuvan	67
5079	utf-8	verratessaan elokuvaa sarjan varhaisiin jaksoihin stephen rowley totesi että elokuvalla on enemmän tarjottavaa kuin sarjalla myöhäisinä vuosina mutta siitä puuttuu vielä paljon sitä mikä teki siitä niin virkistävän	finnish	214
3208	utf-8	ban saboh dônya na macam dum kawan separatis nyang meubuët lageè nyan nyang jingui buët gasa keu cara cok pulang nanggroë ngon niët keuneulheuëh nakeuh peumerdèka naggroë	achinese	170
3237	utf-8	sillä oli aseinaan kaksi miekkaa jotka yhdistettynä loivat pitkän miekkaa muistuttaneen energiaviivan	finnish	101
6381	utf-8	la revenuo per capita por la urbo esis	ido	38
2609	utf-8	lè anca deputada a la cambra di deputaa	lombard	39
3521	utf-8	დაამთავრა საქართველოს ტექნიკური უნივერსიტეტი ინჟინერმექანიკოსის სპეციალობით	georgian	75
2826	utf-8	et võrrelda neid tänapäeva mažooriminooriga peaks nad reastama kvintsüsteemina sellisel juhul tõuseb esile nende mažoorsusminoorsus	estonian	131
3978	utf-8	suku nee iha postu administrativu bazartete munisípiu likisá	tetum	60
3729	utf-8	закатул фитіри кьезе мустахiикълъула гiадамазул микьго тайпа аллагьас къуръаналда закагіат кьезе рихьизарурал	avar	109
3530	utf-8	mans älaboms lemesedi patedik mö us  leigodü us  vomas	volapük	54
1169	utf-8	ягьудиял ун руго румалъул кесарихъ гьез абун буго гьесда гӏисае нужер хӏукумат бокьун гьечӏин букӏизе ва гьев ягьудиялда жиндирго ханлъи гӏуцӏизехъин вугин	avar	155
3942	utf-8	di nanggroë acèh darussalam gajah geuhôy deungon nan po meurah	achinese	62
4081	utf-8	ޙުލޫލަކީ ދެޖިސްމު އެކުވުމެވެ	dhivehi	28
1089	utf-8	an brassa sitys yw toronto ha montréal mes ottawa yw pennsita an keffrysyans	cornish	76
6305	utf-8	c – دځنګل پوهنې دپرسونل اداره اوتنظيم	pushto	37
4716	utf-8	radius accounting функц нь холболтыг эхлүүлэх болон дуусгахад илгээх өгөгдлийг зөвшөөрдөг холболтын үеэр хэрэглэгдэх нөөцийн хэмжээг хугацаа пакет болон бусад заадаг	mongolian	165
783	utf-8	sy chorys keintyssagh ta ny killagyn covestey	manx	45
1350	utf-8	ang pinuno ng estado ay ang yang dipertuan agong na kadalasang tinutukoy bilang ang hari o ang agong at ang pamahalaan ay pinamumunuan ng isang punong ministro	tagalog	159
6094	utf-8	la mezvalora revenuo por la viri esis  kontre  por la mulieri	ido	61
825	utf-8	nepaisant to mūšiai dėl bučačo tęsėsi ir toliau	lithuanian	47
4065	utf-8	foi declarada em  patrimônio histórico e cultural da humanidade pela organização das nações unidas para a educação a ciência e a cultura	portuguese	136
3880	utf-8	asyrda ýazylan golýazmadyr	turkmen	26
4559	utf-8	ສ່ວນ​ວ່າ​ຈະ​ເຊົາ​ເປັນ​ປົກກະຕິ​ນັ້ນ ​ແມ່ນ​​ເປັນ​ໄປ​ໄດ້​ຍາກ	lao	57
1200	utf-8	ومن مميزات خطابته التحقيق التاريخي والإلمام بسير أهل البيت وتفاصيل الأحداث التي رافقت حياتهم المقدسة، وكان بحراً زاخراً من المعرفة بالتاريخ الإسلامي وأحوال العرب قبل الإسلام	arabic	173
1896	utf-8	william gillette zoi	lojban	20
5455	utf-8	sau đó tân linh mục lãng được cử đi trông coi các giáo xứ tiên nha và đại lãm	vietnamese	77
1201	utf-8	من هنا فإن الشيخ حسن قد حاز على الشهرة في هذا المجال لأنه استطاع أن يستخدم المنبر الحسيني في الإرشاد والتوعية الإسلامية وربط المجتمع بفكر أهل البيت عليهم السلام	arabic	160
502	utf-8	арæх арæзтой хъазтизæртæ драмон къорд хъæуы цæрджытæн æвдыста спектакльтæ	ossetian	73
2383	utf-8	akunjalo ke kwizinto ezingamanzi nakwizinto ezingumoya zona kaloku zisoloko zibhadula nje ziyabula nanini na zikhululekile okokuyabula kwazo ke kuthiwa yiflow	xhosa	158
147	utf-8	association de recherche et de sauvegarde de lhistoire de roissyenfrance arshrf roissyenfrance  /  mémoire dun siècle  voir dans la bibliographie	french	145
3987	utf-8	religion focalisate sur le effortios human de conquirer le rectitude moral	interlingua	74
1032	utf-8	ونجحت في تهريب أكثر من  معتقل	arabic	29
5991	utf-8	د علامه سېد لومړنې بهرنې سفر د هند په لورې ؤ	pushto	44
6596	utf-8	काल्याची सादारण पध्दत अशी आसता	konkani	30
948	utf-8	ಪ್ಯಾಲೆಸ್ತೈನ್ ರಾಷ್ಟ್ರೀಯ ಪ್ರಾಧಿಕಾರ ಆಡಳಿತ ನಡಪ್ಪುನ ಪಶ್ಚಿಮ ದಂಡೆ ಬುಕ್ಕ ಗಾಜಾ ಪಟ್ಟಿಮುಟ್ಟ ಉಂಡು	tulu	85
3424	utf-8	в х т	ukrainian	5
4216	utf-8	шеран уггаре а бовха бутт бу — июль мангалан уггаре а шийла — январь кхолламан	chechen	78
4174	utf-8	ашаргъа ёсдюредиле	karachay-balkar	18
5957	utf-8	in sa sotziologia custu at significadu massimamente su cumentzu de unu programa empìricu e sa bessida dae sas bibliotecas e departimentos universitàrios pro regoller sos dados empìrigos in manera dereta	sardinian	202
2174	utf-8	la segunda corriente  °c promedio aprox alta en salinidad y rica en nutrientes abunda de peces y otros organismos de aguas propiamente frías como el lenguado la corvina el pejerrey el jurel la cojinova la anchoveta la sardina la merluza las conchas de abanico el calamar elpulpo los locos y otras especies de fondos rocosos	chavacano	323
3786	utf-8	i egiziani funi par via di cunsiquenza in gradu di cultivà granu è altri culturi ricavendu ni cibu par suppurtà lesigenzi alimintari di a pupulazioni	corsican	149
5120	utf-8	या नावाचा कुठल्याही प्रकारे अन्य प्रदर्शनासाठी वापर होता कामा नये म्हणून या शोचे सहकारी हेच नाव शीर्षक म्हणून ठेवण्यास तयार झाले	marathi	128
5340	utf-8	lafriche e je un dai cinc continents il tierç plui grant dal mont cuntune superficie di  km e une popolazion di plui di  milions di abitants	friulian	140
2434	utf-8	ond gohiriwyd y daith gan i cerys adael y band ar sail blinder a phoen meddwl	welsh	77
3159	utf-8	riigiusundi positsioonil asuv šiiitlus on traditsiooniliselt aldis uuendustele ja revolutsioonilistele muudatustele	estonian	115
4819	utf-8	confédération suisse итал	avar	25
1859	utf-8	hamilton and w	irish	14
4600	utf-8	— с	komi	3
5912	utf-8	स्टॅलिनवादी युग के दौरान एक देश में समाजवाद का विचार जिसे अनेक अन्तरराष्ट्रीय साम्यवादियों ने अव्यवहार्य माना सोवियत संघ की कम्युनिस्ट पार्टी की विचारधारा का हिस्सा बन गया क्योंकि जोसेफ स्टॅलिन और उनके समर्थकों ने यह निष्कर्ष निकाला कि विश्व क्रान्ति को आसन्न समझना सरलमति थी।	hindi	276
461	utf-8	le resultato technic es que occurre poc kib pro mantener le integre mappa de netsukuku super cata nodo	interlingua	102
1560	utf-8	шывпа пĕрле нумай тăпра юшкăн юхнă май эстуаринче нумай утрав вырнаçнă вĕсенчен чи пысăккисем киваи пуруту вабуда аибинио мибу тата домори	chuvash	138
5319	utf-8	මෙලෙස නීර්ණය තීරණය කරන ලද ද්‍රව්‍යන් පුරාවස්තූන් ලෙසට හඳුනාගනී	sinhala	62
2754	utf-8	торбингта меле сон тись лама оцю политиконь ди ярмаконь полафтомат картагенца	moksha	77
249	utf-8	कासवाचा आकार त्याची शरीर वैशिष्ट्ये यांचा कुशल उपयोग आपण पुराकथांमध्ये पाहू शकतो	marathi	80
1637	utf-8	weddi gisiin yi daa wax ci bindu suuf si ak ab kemam  ni mu tollu ndax kat tukki bii nga xam ne dafa dox wër àdduna bi firndéel na ne suuf si daal moo ëpp fuuf li ko colombo jàppe woon ak ku dul moom	wolof	199
1040	utf-8	iṣẹ́ àwọn ọkùnrin ni ẹmudídá tó tún ṣe pàtàkì tẹ̀lé iṣẹ́ àgbẹ̀	yoruba	62
3489	utf-8	zıme de be norwec u rusya rocawan de be deryayo baltık u i̇swec veroc de be estonya rê cirana	dimli	93
5888	utf-8	windows api code pack for microsoft net framework is een netwrapperbibliotheek voor de windows api	dutch	98
4236	utf-8	bileyder ji aliye ermeniyan avabûye	kurdish	35
4628	utf-8	предузећима која обављају делатност од општег интереса својствено је да поред ове циљне функције могу имати и секундарну циљну функцију	serbian	135
2569	utf-8	категорију заштите као природно добро изузетног значаја	serbian	55
4814	utf-8	schweiz фр	avar	10
4772	utf-8	hún er betri en flest okkar í að finna safna og setja í samhengi upplýsingar	icelandic	76
981	utf-8	বাংলা সাহিত্যের ইতিহাসে সবুজপত্র কেবলমাত্র বাংলা ভাষাকে সাধু ভাষার প্রভাব মুক্ত করে চলিত তথা কথ্য ভাষাকে প্রাধান্য দেয়ার জন্যই অবিস্মরনীয় হয়ে থাকবে।	bengali	151
6053	utf-8	stolëcą szpańsczi je madrit	kashubian	27
3030	utf-8	لإجراء العمليات الحسابية، يتم استبدال الشرق والغرب بعلامة سالبة في نصف الكرة الغربي وعلامة إيجابية في النصف الشرقي	arabic	114
2952	utf-8	ôok in slype was ’t er un commanderieë met n kapelle en boerderie’n en in de kerke van slype woaren der glasramen van de tempeliers en lagen der zelfs begraven mo da d’is ollemolle vernietigd me den êeste weireldoorloge	vlaams	219
6134	utf-8	ceelayo ben wan presi ini somalikondre taki wan kondre ini afrka ben	sranan	68
1371	utf-8	wara żewġ relegazzjoni u promozzjoni suċċessivi dawn kienu lura għattajjeb bejn listaġuni – u –	maltese	95
3063	utf-8	મહેલના અંતરંગ વિષે કહેવાય છે કે “વિવિધ રંગોના આરસપહાણના ખંડો છે જેમને આંતરિક ફલકોની નક્શી મીનાકારી આદિથી સજાવાયું છેૢ અને કેંદ્રીય ફુવારો આંગણાની સુંદરતા વધારે છે”	gujarati	163
1778	utf-8	sügüse	võro	6
731	utf-8	lapkričio  d	lithuanian	12
2605	utf-8	ކިންގްޑަމް އޮފް ސައުދީ އަރަބިޔާ ނުވަތަ އަލްމަމްލަކަތުލް ޢަރަބިއްޔަތުއް ސުޢޫދިއްޔާ އަކީ އެރޭބިޔަން ޕެނިންސޫލާގައި އޮތް އެންމެ ބޮޑު ޤައުމެވެ	dhivehi	138
1992	utf-8	afọ imenke amakwa dịka ibu nwa n’afọbụ ogeotu nwa maọbụ karịa dị n’ime afọ nwaanyị	igbo	82
612	utf-8	занимает пятое место в диптихе автокефальных поместных церквей мира	russian	67
383	utf-8	godine	bosnian	6
3738	utf-8	yn llên gwerin cymru cysylltir y bae â sawl chwedl	welsh	50
2933	utf-8	lietovuos rinktėnė  kartus ėšluošė euruopas čempionata ė  kartus ožjiemė  vėita olimpinies žaidīnies	samogitian	100
3762	utf-8	кода штатолть кьрьвястемста стане жа штатолть маломстонза сярьгятькшезь солтантть эняльдсть панемс ърьвянять эзда сембе кальдявть араламс ванфтомс сонь шяйтанть и кальдяв воражай ломаттнень эзда	moksha	194
1864	utf-8	la mezvalora revenuo por la viri esis  kontre  por la mulieri	ido	61
39	utf-8	கோவை செம்மொழி மாநாட்டில் தமிழ்ச்சங்கங்களும் தமிழும் எனும் தலைப்பில் பிற மாநிலங்களில் தமிழ்வளர்ச்சி பற்றி கட்டுரை வாசித்தார்	tamil	123
5611	utf-8	автор отмечал что большую роль в успехе певиц сыграл правильно построенный образ и стиль	erzya	88
3595	utf-8	dal  al  al compon la opare teatrâl dziady i vons intal cuâl al assegne ae polonie un rôl di vuide pes altris nazions europeanis	friulian	128
4157	utf-8	тәүҙәрәк халыҡара үлсәү системаһындаси литрҙы тамғалау өсөн бәләкәй l хәрефен ҡулланғандар	bashkir	90
1274	utf-8	בראמלי המשיך לגור בביתו עד שנת	hebrew	30
5057	utf-8	ko vakaʻeitu ko e motu ia ʻi he tafaʻaki hihifo ʻo e pupunga motu ʻi he tonga ʻo vavaʻu	tongan	87
2916	utf-8	la benda trôve son inice en  pués son nom ’l est un anacicllico du musinè	arpitan	73
3452	utf-8	delouzerosières binon zif in ziläk meuse in topäd lorraine in fransän	volapük	69
6302	utf-8	– دځنګل دجايداد څخه حفظ مراقبت	pushto	30
883	utf-8	ಆಂಚನೆ ಕಿಬುಟ್ಜ್ ಆಯೆಗ್ ಅಗತ್ಯ ಇಪ್ಪುನ ಇಜ್ಜಿಯಾಂತ ಜೀವನೋಪಯೋಗಿ ವಸ್ತುನ್ಕೊರ್ಪೆರ್	tulu	70
5839	utf-8	— џапан ерлајнс лет  се срушио на врх планине такамагахара у јапанској префектури гунма усмртивши  од  људи у авиону у највећој авионској несрећи у којој је учествао један авион	serbian	177
4634	utf-8	konstaņtinovys pogostā dzeivoj  ļauds nu jū % latvīšu % krīvu i % cytu tauteibu boltkrīvu puoļu i cytu	latgalian	102
5132	utf-8	მდებარეობს კაშტელუბრანკუს მუნიციპალიტეტში	georgian	41
1762	utf-8	джылны октябрында тайланд аскерле француз индокъытайгъа чабхандыла	karachay-balkar	66
697	utf-8	نر جا رنگ پٿريلي ماحول سان هم آهنگ هوندا آهن، هن جي پيٽ ۽ ڊگھي ڳچيءَ جو رنگ اڇو ٿئي ٿو، سرمائي ڪاري چوٽي ۽ ڳچيءَ تي مٿان کان هيٺ تائين اڇن ۽ ڪارن کنڀن جي جهالر ٿئي ٿي	sindhi	166
